iter	Passed	Remaining
1594	11244	2855
1595	11251	2848
1596	11258	2841
1597	11265	2834
1598	11272	2826
1599	11279	2819
1600	11287	2813
1601	11294	2805
1602	11301	2799
1603	11308	2791
1604	11316	2785
1605	11324	2778
1606	11331	2771
1607	11338	2764
1608	11345	2756
1609	11353	2750
1610	11359	2742
1611	11367	2735
1612	11373	2728
1613	11380	2721
1614	11387	2714
1615	11394	2707
1616	11401	2700
1617	11408	2693
1618	11415	2686
1619	11422	2679
1620	11429	2672
1621	11436	2665
1622	11442	2657
1623	11450	2650
1624	11456	2643
1625	11463	2636
1626	11470	2629
1627	11477	2622
1628	11484	2615
1629	11491	2608
1630	11498	2601
1631	11504	2594
1632	11511	2587
1633	11518	2580
1634	11525	2572
1635	11532	2565
1636	11538	2558
1637	11546	2551
1638	11553	2544
1639	11559	2537
1640	11567	2530
1641	11573	2523
1642	11581	2516
1643	11588	2509
1644	11596	2502
1645	11602	2495
1646	11610	2488
1647	11616	2481
1648	11623	2474
1649	11630	2467
1650	11637	2459
1651	11644	2452
1652	11650	2445
1653	11657	2438
1654	11664	2431
1655	11670	2424
1656	11677	2417
1657	11684	2410
1658	11691	2403
1659	11697	2395
1660	11704	2388
1661	11711	2381
1662	11717	2374
1663	11725	2367
1664	11731	2360
1665	11738	2353
1666	11745	2346
1667	11751	2339
1668	11758	2332
1669	11765	2324
1670	11771	2317
1671	11778	2310
1672	11786	2303
